task,domain,strategy,n,faithfulness_mean,answer_relevance_mean,context_usefulness_mean,completeness_mean,hallucination_yes_rate,hallucination_partial_rate
c,clapnq,large,208,3.0769,3.7356,3.4038,3.0673,0.1154,0.125
c,clapnq,legacy,208,3.0144,3.5962,3.3221,2.9663,0.1298,0.1394
c,clapnq,multiscale,208,2.8462,3.5481,3.1875,2.9038,0.1923,0.1202
c,clapnq,noretrieval,208,2.2933,2.7885,1.9952,2.1394,0.0529,0.101
c,clapnq,small,208,2.7163,3.1971,2.8894,2.6827,0.1346,0.149
c,cloud,large,188,2.8511,3.3457,2.9681,2.7606,0.1649,0.0904
c,cloud,legacy,188,2.7979,3.4468,3.0319,2.8085,0.1489,0.0957
c,cloud,multiscale,188,2.6862,3.0638,2.3936,2.6277,0.2872,0.1915
c,cloud,noretrieval,188,1.7234,2.1915,1.4043,1.6277,0.1968,0.0904
c,cloud,small,188,2.6755,3.2128,2.9521,2.6596,0.1489,0.1383
c,fiqa,large,180,2.9722,3.6833,3.1111,2.9611,0.1278,0.1278
c,fiqa,legacy,180,2.8944,3.6167,3.1056,2.9278,0.1111,0.1667
c,fiqa,multiscale,180,2.9278,3.65,3.1056,2.9611,0.1222,0.1333
c,fiqa,noretrieval,180,2.3,2.8889,1.7528,2.1889,0.0722,0.0333
c,fiqa,small,180,2.8889,3.5833,3.0611,2.9389,0.1167,0.1556
c,govt,large,201,2.8706,3.4627,2.7811,2.796,0.204,0.0448
c,govt,legacy,201,2.7164,3.2736,2.6915,2.6667,0.1493,0.0697
c,govt,multiscale,201,2.7015,3.194,2.2786,2.7065,0.3085,0.1443
c,govt,noretrieval,201,2.0746,2.6318,1.735,1.9701,0.0796,0.1045
c,govt,small,201,2.6418,3.3284,2.6667,2.6716,0.1592,0.1194
