domain,strategy,n,ROUGE-L,BertScore-R,BertScore-P,RB_agg
fiqa,noretrieval,180,0.1303,0.0089,0.1253,0.0
fiqa,small,180,0.1757,0.1208,0.1482,0.3162
fiqa,multiscale,180,0.1792,0.1336,0.1364,0.3231
fiqa,legacy,180,0.1834,0.1294,0.1584,0.3262
fiqa,large,180,0.184,0.1344,0.1562,0.3281
clapnq,noretrieval,208,0.1483,0.0012,0.1445,0.0
clapnq,small,208,0.1981,0.0961,0.2089,0.3295
clapnq,multiscale,208,0.2212,0.1554,0.1907,0.3621
clapnq,legacy,208,0.2239,0.155,0.2134,0.363
clapnq,large,208,0.2302,0.1681,0.2243,0.3711
cloud,noretrieval,188,0.1227,-0.0466,0.1072,0.0
cloud,small,188,0.1926,0.0779,0.1738,0.3209
cloud,multiscale,188,0.1673,0.1365,-0.0033,0.3063
cloud,legacy,188,0.2087,0.127,0.1496,0.3455
cloud,large,188,0.2141,0.1343,0.1548,0.3516
govt,noretrieval,201,0.1329,-0.005,0.1275,0.0
govt,small,201,0.1884,0.0878,0.1657,0.3117
govt,multiscale,201,0.182,0.1639,0.0775,0.306
govt,legacy,201,0.1808,0.106,0.1483,0.3098
govt,large,201,0.2134,0.1492,0.1732,0.3438
